Grapheme	IPA
'a	a
*	NULL
+	+
+$	NULL
-	+
-$	NULL
-_	+
.	NULL
...	NULL
?	NULL
??	NULL
A	a
Ahw	a hʷ
As	a s
B	b
C	c
D	d
F	f
G	ɢ
H	h
I	i
J	dʒ
K	k
Kw	kʷ
L	l
M	m
N	n
R	ʁ
S	s
T	t
W	w
Z	z
Zh	ʒ
^+	NULL
^-	NULL
^_	NULL
_	+
_$	NULL
_+_	+
_-	+
_-__	+
_-___	+
_..._	+
_?$	NULL
__	+
__$	NULL
_̀	+
_̀h	+ h
_́	+ ʔ
_̱	+
`	ʔ
a	a
a!	a
aa	aː
aː	aː
b	b
bb	bː
bh	bʱ
bw	bʷ
c	c
cc	cː
ch	tʃ
chch	tʃː
chw	tʃʷ
cw	cʷ
d	d
dd	dː
dw	dʷ
dʒ	dʒ
dː	dː
e	e
ee	eː
f	f
ff	fː
fs	f s
fw	fʷ
fʼ	fʼ
fː	fː
g	g
gg	gː
ggg	gː
gh	gʱ
ghw	gʷʱ
gw	gʷ
h	h
hh	hː
hs	h s
hw	hʷ
hʷ	hʷ
i	i
i:	iː
ii	iː
i̱	i
j	j
jh	dʒʱ
jhw	dʒʷ
jw	jʷ
jː	jː
k	k
kh	kʰ
khs	kʰ s
khsh	kʰ ʃ
khw	kʷ w
kk	kː
ks	k s
ksh	k ʃ
kw	kʷ
kws	kʷ s
kwsh	kʷ ʃ
kʒ	k ʒ
kʷ	kʷ
kʼ	kʼ
kː	kː
l	l
lh	lʱ
ll	lː
ls	l s
lsh	l ʃ
lw	lʷ
lʒ	l ʒ
lʲ	lʲ
lʼ	lʼ
lː	lː
m	m
mh	mʱ
mm	mː
ms	m s
msh	m ʃ
mw	mʷ
mʃ	m ʃ
mʼ	mʼ
mː	mː
m̀	m
m̀s	m s
m̱	m
n	n
nh	n h
nn	nː
ns	n s
nsh	n ʃ
nsw	n sʷ
nw	nʷ
nː	nː
n̩	n
o	o
o:	oː
oo	oː
oʼ	o ʔ
p	p
pp	pː
ps	p s
psh	p ʃ
pw	pʷ
pʼ	pʼ
p˺	p
q	q
r	r
rh	rʱ
rhw	r hʷ
rr	rː
rs	r s
rsh	r ʃ
rw	r w
rʼ	rʼ
s	s
sh	ʃ
shw	ʃʷ
ss	sː
ssh	ʃ
sw	sʷ
sː	sː
t	t
th	tʰ
thw	tʷʰ
ts	ts
tsh	tsʰ
tsw	tsʷ
tt	tː
tw	tʷ
tʃ	tʃ
tʼ	tʼ
t˺	tʼ
u	u
uu	uː
uː	uː
u̱	u
v	v
vs	v s
vw	vʷ
w	w
wh	wʱ
ws	w s
